ID,Node Statement,"ID, Node Statement"
c_7DqK,"The Cold War was an ideological conflict between the U.S. and the Soviet Union, marked by proxy wars, an arms race, and global political competition.","c_7DqK, The Cold War was an ideological conflict between the U.S. and the Soviet Union, marked by proxy wars, an arms race, and global political competition."
c_ZGv5,"Proxy wars were conflicts in which the U.S. and the Soviet Union supported opposing sides without directly engaging in combat, such as in Korea, Vietnam, and Angola.","c_ZGv5, Proxy wars were conflicts in which the U.S. and the Soviet Union supported opposing sides without directly engaging in combat, such as in Korea, Vietnam, and Angola."
c_C6dF,"The aftermath of World War II reshaped global power structures, with the United States and the Soviet Union emerging as superpowers, which accelerated technological innovations and significantly altered the international political landscape.","c_C6dF, The aftermath of World War II reshaped global power structures, with the United States and the Soviet Union emerging as superpowers, which accelerated technological innovations and significantly altered the international political landscape."
c_36Jf,"The development of nuclear weapons by the United States in 1945 and the Soviet Union in 1949 initiated a nuclear arms race that escalated Cold War tensions, further intensified by both nations developing hydrogen bombs in the early 1950s.","c_36Jf, The development of nuclear weapons by the United States in 1945 and the Soviet Union in 1949 initiated a nuclear arms race that escalated Cold War tensions, further intensified by both nations developing hydrogen bombs in the early 1950s."
c_Y4Xt,"The nuclear arms race was a Cold War competition between the U.S. and the Soviet Union to develop and stockpile nuclear weapons, escalating global tensions.","c_Y4Xt, The nuclear arms race was a Cold War competition between the U.S. and the Soviet Union to develop and stockpile nuclear weapons, escalating global tensions."
c_Hp0p,Hydrogen bombs are a more powerful class of nuclear weapons that use fusion (rather than or in addition to fission) to exponentially increase destructive capacity.,"c_Hp0p, Hydrogen bombs are a more powerful class of nuclear weapons that use fusion (rather than or in addition to fission) to exponentially increase destructive capacity."
c_kXKk,"World War II catalyzed independence movements across Asia and Africa by weakening European colonial powers, strengthening nationalist sentiments, and inspiring colonies through successes like India's, leading to the dismantling of colonial empires.","c_kXKk, World War II catalyzed independence movements across Asia and Africa by weakening European colonial powers, strengthening nationalist sentiments, and inspiring colonies through successes like India's, leading to the dismantling of colonial empires."
c_Oz4J,"During World War II, the leaders of Great Britain, the United States, and the Soviet Union, known as the Big Three, held several meetings to plan for the post-war world, but deep divisions emerged over Eastern European governance and Soviet influence.","c_Oz4J, During World War II, the leaders of Great Britain, the United States, and the Soviet Union, known as the Big Three, held several meetings to plan for the post-war world, but deep divisions emerged over Eastern European governance and Soviet influence."
c_AfIf,"The Marshall Plan demonstrated American economic power by providing aid to rebuild Western European nations after World War II, aiming to prevent the spread of communism.","c_AfIf, The Marshall Plan demonstrated American economic power by providing aid to rebuild Western European nations after World War II, aiming to prevent the spread of communism."
c_M2hR,The Marshall Plan was a U.S. initiative that provided economic aid to rebuild Western Europe after World War II and prevent the spread of communism.,"c_M2hR, The Marshall Plan was a U.S. initiative that provided economic aid to rebuild Western Europe after World War II and prevent the spread of communism."
c_ohkv,"The Truman Doctrine pledged U.S. support to countries resisting communist expansion, beginning with aid to Greece and Turkey in 1947.","c_ohkv, The Truman Doctrine pledged U.S. support to countries resisting communist expansion, beginning with aid to Greece and Turkey in 1947."
c_xzMs,"Germany and Berlin were divided between Western democratic and Eastern communist control, becoming focal points of Cold War tensions.","c_xzMs, Germany and Berlin were divided between Western democratic and Eastern communist control, becoming focal points of Cold War tensions."
c_U8jb,"The Cold War was an ideological conflict between U.S. democratic capitalism and Soviet authoritarian communism, leading to global competition for influence.","c_U8jb, The Cold War was an ideological conflict between U.S. democratic capitalism and Soviet authoritarian communism, leading to global competition for influence."
c_L54X,"During the Cold War, the world divided into capitalist First World nations allied with the U.S., communist Second World nations aligned with the USSR, and non-aligned Third World countries.","c_L54X, During the Cold War, the world divided into capitalist First World nations allied with the U.S., communist Second World nations aligned with the USSR, and non-aligned Third World countries."
c_XwsB,"The Soviet Union expanded its influence over Eastern Europe, marking a significant change from its pre-war position, as Stalin established control over countries that had previously been independent.","c_XwsB, The Soviet Union expanded its influence over Eastern Europe, marking a significant change from its pre-war position, as Stalin established control over countries that had previously been independent."
c_WvQX,"The Cold War involved indirect conflict through propaganda, espionage, an arms race, and proxy wars rather than direct military confrontation.","c_WvQX, The Cold War involved indirect conflict through propaganda, espionage, an arms race, and proxy wars rather than direct military confrontation."
c_hWEM,"The Non-Aligned Movement emerged in the 1950s as newly independent nations, like India under Nehru, Ghana under Nkrumah, and Indonesia under Sukarno, sought to avoid alignment with the U.S. or Soviet Union.","c_hWEM, The Non-Aligned Movement emerged in the 1950s as newly independent nations, like India under Nehru, Ghana under Nkrumah, and Indonesia under Sukarno, sought to avoid alignment with the U.S. or Soviet Union."
c_2uOG,"The formation of NATO caused the Soviet Union to establish the Warsaw Pact, formalizing the division between Eastern and Western military alliances.","c_2uOG, The formation of NATO caused the Soviet Union to establish the Warsaw Pact, formalizing the division between Eastern and Western military alliances."
c_SZKU,"The Korean War began in 1950 when North Korea invaded South Korea, leading to UN and US intervention, and Chinese involvement, exemplifying a Cold War proxy war.","c_SZKU, The Korean War began in 1950 when North Korea invaded South Korea, leading to UN and US intervention, and Chinese involvement, exemplifying a Cold War proxy war."
c_w31J,"Cold War proxy wars occurred in Africa, Asia, and Latin America, with the US and USSR supporting opposing sides in conflicts such as the Angolan Civil War and Nicaraguan Contra War.","c_w31J, Cold War proxy wars occurred in Africa, Asia, and Latin America, with the US and USSR supporting opposing sides in conflicts such as the Angolan Civil War and Nicaraguan Contra War."
c_4ftP,The Nicaraguan Contra War was a Cold War proxy conflict in which the socialist Sandinista government faced armed opposition from U.S.-funded Contra rebels.,"c_4ftP, The Nicaraguan Contra War was a Cold War proxy conflict in which the socialist Sandinista government faced armed opposition from U.S.-funded Contra rebels."
c_Af8f,"The Angolan Civil War  was a conflict between rival groups (MPLA, UNITA, FNLA) after independence from Portugal, becoming a Cold War proxy war with Soviet/Cuban support for the MPLA and U.S./South African support for UNITA.","c_Af8f, The Angolan Civil War  was a conflict between rival groups (MPLA, UNITA, FNLA) after independence from Portugal, becoming a Cold War proxy war with Soviet/Cuban support for the MPLA and U.S./South African support for UNITA."
